"建物他項權利登記","棟數_棟","設定","移轉","變更","塗銷","其他","面積_平方公尺","設定","移轉","變更","塗銷","其他"
"107年<br>(1月至5月)/ 雲林縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 雲林縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 雲林縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 雲林縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 雲林縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 雲林縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義縣 / 登記項目總計","4,768","2,336","295","376","1,761","-","1,397,238.68","712,838.22","50,194.12","211,044.71","423,161.63","-"
"107年<br>(1月至5月)/ 嘉義縣 / 抵押權","4,768","2,336","295","376","1,761","-","1,397,238.68","712,838.22","50,194.12","211,044.71","423,161.63","-"
"107年<br>(1月至5月)/ 嘉義縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 嘉義縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 屏東縣 / 登記項目總計","10,226","4,309","1,560","1,125","3,232","-","2,215,665.06","919,679.48","239,099.70","344,745.64","712,140.24","-"
"107年<br>(1月至5月)/ 屏東縣 / 抵押權","10,226","4,309","1,560","1,125","3,232","-","2,215,665.06","919,679.48","239,099.70","344,745.64","712,140.24","-"
"107年<br>(1月至5月)/ 屏東縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 屏東縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 屏東縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 屏東縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 屏東縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 屏東縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 屏東縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 屏東縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺東縣 / 登記項目總計","2,177","1,058","145","134","840","-","412,773.58","198,748.38","20,769.22","32,101.62","161,154.36","-"
"107年<br>(1月至5月)/ 臺東縣 / 抵押權","2,177","1,058","145","134","840","-","412,773.58","198,748.38","20,769.22","32,101.62","161,154.36","-"
"107年<br>(1月至5月)/ 臺東縣 / 地上權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺東縣 / 不動產役權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺東縣 / 典權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺東縣 / 農育權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺東縣 / 永佃權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺東縣 / 耕作權","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺東縣 / 法院判決、調解、和解","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 臺東縣 / 其他他項權利","-","-","-","-","-","-","-","-","-","-","-","-"
"107年<br>(1月至5月)/ 花蓮縣 / 登記項目總計","4,705","2,279","12","462","1,952","-","818,918.09","393,615.34","1,716.30","125,815.20","297,771.25","-"
